pr_number,title,url,outcome,merged,commit_count,changed_files,additions,deletions,changed_lines,title_length,body_length,comments,review_comments,commit_message_total_length,commit_message_avg_length,commit_message_max_length,commit_message_keyword_count,commit_messages
16532,Fix the API only available on main,https://github.com/apache/lucene/pull/16532,MERGED,1,1,1,6,1,7,34,72,0,0,31,31.0,31,1,Fix API only available on main.
16527,feat: add cancellation checks to `WordStorage`,https://github.com/apache/lucene/pull/16527,MERGED,1,2,4,33,8,41,46,0,0,4,65,32.5,46,0,feat: add cancellation checks to `WordStorage` || Inline `buildCache`
16525,deps(java): bump com.github.luben:zstd-jni from 1.5.7-12 to 1.5.7-13,https://github.com/apache/lucene/pull/16525,MERGED,1,1,1,1,1,2,68,3453,0,0,482,482.0,482,0,deps(java): bump com.github.luben:zstd-jni from 1.5.7-12 to 1.5.7-13  Bumps [com.github.luben:zstd-jni](https://github.com/luben/zstd-jni) from 1.5.7-12 to 1.5.7-13. - [Commits](https://github.com/luben/zstd-jni/compare/v1.5.7-12...v1.5.7-13)  --- updated-dependencies: - dependency-name: com.github.luben:zstd-jni   dependency-version: 1.5.7-13   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com>
16524,deps(java): bump com.github.ben-manes.versions from 0.58.0 to 0.61.0,https://github.com/apache/lucene/pull/16524,MERGED,1,1,1,1,1,2,68,1577,0,0,370,370.0,370,0,deps(java): bump com.github.ben-manes.versions from 0.58.0 to 0.61.0  Bumps com.github.ben-manes.versions from 0.58.0 to 0.61.0.  --- updated-dependencies: - dependency-name: com.github.ben-manes.versions   dependency-version: 0.61.0   dependency-type: direct:production   update-type: version-update:semver-minor ...  Signed-off-by: dependabot[bot] <support@github.com>
16523,deps(java): bump junit5 from 6.1.2 to 6.1.3,https://github.com/apache/lucene/pull/16523,MERGED,1,2,20,27,27,54,43,14036,0,0,1770,885.0,1750,2,"deps(java): bump junit5 from 6.1.2 to 6.1.3  Bumps `junit5` from 6.1.2 to 6.1.3.  Updates `org.junit.jupiter:junit-jupiter-engine` from 6.1.2 to 6.1.3 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.2...r6.1.3)  Updates `org.junit.platform:junit-platform-launcher` from 6.1.2 to 6.1.3 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.2...r6.1.3)  Updates `org.junit.platform:junit-platform-testkit` from 6.1.2 to 6.1.3 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.2...r6.1.3)  Updates `org.junit.vintage:junit-vintage-engine` from 6.1.2 to 6.1.3 - [Release notes](https://github.com/junit-team/junit-framework/releases) - [Commits](https://github.com/junit-team/junit-framework/compare/r6.1.2...r6.1.3)  --- updated-dependencies: - dependency-name: org.junit.jupiter:junit-jupiter-engine   dependency-version: 6.1.3   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.platform:junit-platform-launcher   dependency-version: 6.1.3   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.platform:junit-platform-testkit   dependency-version: 6.1.3   dependency-type: direct:production   update-type: version-update:semver-patch - dependency-name: org.junit.vintage:junit-vintage-engine   dependency-version: 6.1.3   dependency-type: direct:production   update-type: version-update:semver-patch ...  Signed-off-by: dependabot[bot] <support@github.com> || Lockfile, checksums."
16519,ScoreSupplier#cost throws an IOException,https://github.com/apache/lucene/pull/16519,MERGED,1,3,24,78,90,168,40,123,0,1,48,16.0,40,0,ScoreSupplier#cost throws an IOException || tidy || iter
16513,Add docIDRunEnd contract tests for DV formats,https://github.com/apache/lucene/pull/16513,MERGED,1,4,2,244,0,244,45,979,0,0,217,54.25,77,1,Add docIDRunEnd contract tests for DV formats || Merge remote-tracking branch 'upstream/main' into docidrunend-format-contract || update CHANGES.txt || Merge remote-tracking branch 'upstream/main' into docidrunend-format-contract
16512,Delegate docIDRunEnd in AssertingScorer's two-phase iterator,https://github.com/apache/lucene/pull/16512,MERGED,1,3,3,106,0,106,60,576,0,0,143,47.666666666666664,71,0,Delegate docIDRunEnd in AssertingScorer two-phase view || Merge remote-tracking branch 'upstream/main' into asserting-docidrunend || update CHANGES.txt
16511,Add bulk-scorer differential oracle test,https://github.com/apache/lucene/pull/16511,MERGED,1,3,5,725,0,725,40,1456,0,0,140,46.666666666666664,68,1,Add bulk-scorer vs doc-by-doc differential oracle test || Update CHANGES.txt || Merge remote-tracking branch 'upstream/main' into bulk-scorer-oracle
16508,Fix errors in grouping package-info javadocs,https://github.com/apache/lucene/pull/16508,MERGED,1,1,1,2,5,7,44,36,0,0,80,80.0,80,1,Fix errors in grouping package-info javadocs  Some methods were removed/renamed.
